TickCount,TickTime(ms)
346,284.028999999995
347,285.7673000000068
348,291.3043000000034
349,291.68139999998675
350,291.3663000000088
351,291.09999999999127
352,294.5349000000133
353,300.0954999999958
354,290.5037000000011
355,288.34689999998955
356,288.4418000000005
357,288.22000000000116
358,287.0084000000061
359,288.90179999999236
360,293.56980000001204
361,291.1936999999889
362,285.6064000000042
363,283.9323000000004
364,280.8880999999965
365,282.11269999999786
366,278.56860000001325
367,282.3037999999942
368,288.58980000000156
369,278.69229999999516
370,286.8448999999964
371,273.430400000012
372,276.11359999999695
373,272.2039999999979
374,290.9878000000026
375,266.9710999999952
376,270.59990000000107
377,270.2902999999933
378,268.8319000000047
379,275.8015000000014
380,279.74009999999544
381,287.1828999999998
382,284.4988000000012
383,282.1281000000017
384,289.700800000006
385,291.1411999999982
386,296.07210000000487
387,301.91919999998936
388,304.5008000000089
389,299.0089000000007
390,299.93299999999
391,328.6105000000098
392,298.145199999999
393,299.33959999999206
394,292.5381000000052
395,287.491399999999
396,308.20650000000023
397,281.2856999999931
398,302.2945000000036
399,298.2737000000052
400,302.64590000000317
401,295.233899999992
402,292.2578000000067
403,297.9354000000021
404,303.1912999999913
405,292.51080000000366
406,293.1518999999971
407,292.2109999999957
408,293.1790000000037
409,291.91419999999925
410,287.33170000000973
411,279.42649999998685
412,275.49920000000566
413,290.42029999999795
414,289.5430000000051
415,296.01320000000123
416,292.2219999999943
417,293.17600000000675
418,289.1319999999978
419,307.39010000000417
420,301.1793999999936
421,314.6064999999944
422,296.45470000000205
423,293.4618000000046
424,300.45239999999467
425,293.08600000001024
426,294.1192999999912
427,289.8660000000091
428,295.9536999999982
429,290.488400000002
430,296.11759999999776
431,289.78919999999925
432,310.6845999999932
433,289.8619000000035
434,272.5552000000025
435,274.1107999999949
436,272.8607999999949
437,269.8722000000125
438,272.66549999998824
439,275.87190000001283
440,278.741399999999
441,288.10349999999744
442,286.8104999999923
443,290.53800000000047
444,299.1545000000042
445,303.1695999999938
446,307.795100000003
447,321.86260000000766
448,325.5541999999987
449,325.80809999999474
450,316.47239999999874
451,311.9462000000058
452,305.4146000000037
453,317.3718999999983
454,301.793399999995
455,315.8159000000014
456,307.13529999999446
457,305.5945000000065
458,306.62309999999707
459,316.0436000000045
